古文,現代語訳
いつしか,早く
え,〜できない
さらに,決して／重ねて
ひねもす,一日中
せめて,無理に
かまへて,何とかして
かけて,心にかけて
ゆめ,決して／全く
たえて,全く／完全に
をさをさ,ほとんど／しっかり
な〜,〜てくれるな
よも,まさか
されば,だから
さるは,そうはいっても
ひとやりならず,自分のせいで
かずならず,取るに足りない
えならず,並たいていではない
とあり,ああだ
ねをなく,声を上げて泣く
われか,正気を失った
さりぬべし,適当だ
やるかたなし,晴らしようがない
せむかたなし,どうしようもない
うち〜,ちらっと〜／さっと〜
うら〜,心が〜
かきくどく,繰り返し言う
ことかた,別の方
たちおくる,遅くなる
そらごと,うそ／偽り
ほの〜,ほのかに〜／かすかに〜
つい〜,つい〜／ちょっと〜
なま〜,未熟な〜／不完全な〜
もの〜,世話をする
もて〜,下の動詞の意味を強める
〜がり,〜のところへ／〜のもとへ
〜がまし,〜の様子だ
〜げ,いかにも〜の様子だ
〜めく,〜のようになる／〜らしくなる
〜めかし,〜のようだ／〜らしい
〜だつ,〜のように見える
〜がかる,〜しにくくて
〜がてに,〜できないで
〜かぬ,〜できない／〜に堪えられない
〜しろふ,互いに〜しあう
〜そむ,〜し始める／初めて〜する
〜どち,〜の仲間／〜同士
〜づから,〜によって／〜をもって
〜なす,ことさら〜する／わざと〜する
