古文,現代語訳
もてなす,振る舞う ／ 取り扱う／取り計らう ／ もてはやす／大切に扱う
きょうず（興ず）,おもしろがる
およすぐ,成長する／大人になる ／ 大人びる／ませる
ときめく（時めく）,寵愛を受ける ／ 時流に乗って栄える
さる（避る）,避ける／のがれる ／ 断る／辞退する
こうず（困ず）,疲れる ／ 疲労する
かきくらす,悲しみが心を暗くする ／ 涙が目の前を暗くする
うれふ（憂ふ・愁ふ）,訴える ／ 悲しみに嘆く
かこつ（託つ）,不平を言う ／ 文句を言う
いたはる（労る）,病気になる／疲労する ／ 骨を折る／苦労する ／ 世話をする
ためらふ,静養する ／ 気を静める／感情を抑える
おこたる（怠る）,病気がよくなる／快方に向かう
なやむ（悩む）,病気で苦しむ ／ 気分がすぐれなくなる
おくる（後る・遅る）,先立たれる ／ 先に死なれる
したたむ（認む）,処理する／整理する ／ 用意する／準備する ／ 取り締まる／治める
あたらし（惜し）,もったいない ／ 惜しい
かたじけなし,おそれ多い ／ ありがたい／もったいない
をこがまし（痴がまし）,愚かしい ／ みっともない
こころにくし,奥ゆかしい
さかし（賢し）,かしこい／賢明だ ／ 才気がある ／ 気がしっかりしている ／ こざかしい
すきずきし,好色めいている ／ 風流だ／物好きだ
なまめかし,優美だ ／ みずみずしい
いまめかし,現代風だ ／ 華やかだ／目新しい
しどけなし,無造作だ／気楽な感じだ ／ 乱れている／だらしがない
つきづきし,似つかわしい ／ ふさわしい
なつかし,好ましい ／ 感じがよい
めやすし,見苦しくない ／ 感じよい
こころやすし,安心だ ／ 気楽だ／気安い
うしろめたし,心配だ ／ 気がかりだ
こころぐるし,つらい／心配だ ／ 気の毒だ／見ていてつらい
まばゆし,見ていられない ／ 恥ずかしい／照れくさい
はづかし（恥づかし）,(こちらが気後れするほど)立派だ／すぐれている
つたなし（拙し）,下手だ／拙劣だ ／ 劣っている ／ 下品だ ／ 不運だ
こちたし,仰々しい ／ はなはだしい
さうなし（左右無し）,ためらわない ／ 無造作だ
ところせし（所狭し）,いっぱいだ ／ 窮屈だ／不自由だ ／ おおげさだ
つつつまし（慎まし）,気がひける ／ 気恥ずかしい
まさなし,よくない／不都合だ ／ 見苦しい／みっともない
ねたし（妬し）,しゃくにさわる ／ 憎らしい
まだし,まだ時期が早い ／ 不十分だ／未熟だ
