古文,現代語訳
わびし（侘びし）,つらい／苦しい／悲しい／切ない ／ つまらない ／ みすぼらしい／貧しい
ゆかし（床し）,見たい／聞きたい／知りたい／読みたい ／ 心がひかれる ／ 懐かしい／恋しい
あいなし,おもしろくない／気にくわない／筋が通らない ／ ただもう／むやみに
こころもとなし（心許なし）,気がかりだ／落ち着かない／不安だ ／ 待ち遠しい／じれったい ／ ぼんやりしている
しるし・しろし（著し）,はっきりしている／際立っている ／ その通りだ／予想通りだ
はしたなし（端なし）,間が悪い／中途半端だ／きまりが悪い ／ 無遠慮だ／無愛想だ
わろし（悪し）,よくない／みっともない／不適当だ ／ へただ／下品だ ／ 貧しい／経済的に恵まれない
かたはらいたし（傍ら痛し）,見（聞き）苦しい／見る（聞く）に耐えない ／ きまりが悪い／恥ずかしい
はかばかし（果果し・捗捗し）,はっきりしている／際立っている ／ しっかりしている／確かだ／本格的だ
むつかし（難し）,不快だ／わずらわしい／（気分が）すぐれない ／ 恐ろしい／気味が悪い
めやすし（目安し）,見苦しくない／感じがよい
なまめかし（艶めかし・生めかし）,優雅だ／優美だ／上品だ ／ 若々しく美しい／しっとりと美しい
さうざうし,物足りない／寂しい／つまらない
ねたし（嫉し・妬し）,癪だ／憎らしい／残念だ／くやしい ／ ねたましくなるほどすばらしい
ところせし（所狭し）,窮屈だ／気づまりだ／いっぱいだ／面倒だ ／ いばっている／堂々としている ／ 大げさだ／仰々しい
おどろおどろし,大げさだ／仰々しい ／ 気味が悪い／恐ろしい／不気味だ
こころにくし（心憎し）,奥ゆかしい／上品だ／心がひかれる
らうたし,かわいらしい／可憐だ／かわいい
いまめかし（今めかし）,当世風だ／現代風だ／華やかだ／目新しい ／ 今さらめいている／軽薄だ
こころづきなし（心付き無し）,気にくわない／嫌だ／おもしろくない
けし（怪し・異し）,異様だ／悪い／変だ／普通と違う／怪しげだ
あぢきなし,おもしろくない／苦々しい ／ どうにもならない ／ つまらない／無益だ
