古文,現代語訳
むつかし,不快だ ／ 気味が悪い
むくつけし,不気味だ ／ 風情がない
かごとがまし,恨みがましい
かしかまし,うるさい
こちたし,わずらわしい ／ うるさい
ことごとし,大げさだ
らうがはし,やかましい ／ 不快だ／乱雑だ
かたはらいたし,気の毒だ ／ きまりが悪い
ひとわろし,みっともない
からし,つらい ／ 危うい ／ むごい
なまじゐなり,しぶしぶだ ／ 無理に
ところせし,窮屈だ ／ 堂々としている ／ 大げさだ
ものぐるほし,気がおかしくなりそうだ ／ 馬鹿げている
くすし,不思議だ ／ 親しみやすい ／ 医師
けし,変だ
すずろなり,むやみやたらだ ／ 無性に...だ ／ 思いがけない
そぞろなり,なんのゆかりもない ／ 無性に...だ ／ 思いがけない
いたいたし,気の毒だ ／ 不都合だ
なほざなり,いいかげんだ ／ あっさりしている
をこななり,馬鹿げている
いふもおろかなり,言うまでもない ／ 言い尽くせない
いへばさらなり,言うまでもない
みそかなり（密かなり）,内緒である
かれがれなり,通いが途絶えがちだ ／ （草木が）枯れそうだ
つれづれなり,退屈だ ／ さびしい
よばふ,求婚する ／ 何度も呼ぶ
こととふ,尋ねる ／ 訪問する
おとなふ,音を出す ／ 訪問する
いらふ,返事をする ／ 返歌する
やつす,わざと目立たない格好にする ／ 出家する
ありく,歩き回る ／ ずっと〜し続ける
ゆふさる,夕方になる
やすらふ,たたずむ ／ ためらう
かる（離る）,遠ざかる ／ （草木が）枯れる
あくがる,さまよう ／ （心が）体から抜け出す
いさよふ,ためらう
おぼほる,おぼれる ／ ぼんやりする
かきくらす,悲しみで心を暗くする ／ 辺り一面を暗くする
あさむ,驚きあきれる ／ 軽蔑する
すさぶ,もてあそぶ ／ 盛んに...する
うんず,嫌になる
くんず,気がめいる
こうず（困ず）,困る ／ 疲れる
ゑんず,恨み言を言う
おづ,怖がる
ひつ,濡れる
めづ,愛でる ／ ほめる
ならふ（慣らふ）,慣れる ／ 学ぶ
まねぶ,学ぶ ／ 真似をする
たぐふ,連れ添う ／ 似合う
ぐす,連れていく ／ 備わる／そろう
よそふ,例える ／ 比較する
まどふ,迷う ／ ひどく...する
まがふ,似ている ／ 入り乱れる
たがふ（違ふ）,違う ／ そむく
わく（分く）,区別する ／ 理解する
いつく,祭る ／ 大切に育てる
かしづく,大切に育てる ／ お仕えする
うつくしむ,かわいがる
かずまふ,一人前として扱う ／ 仲間に加える
ぬかづく,額を地面につけて礼をする
いとふ,出家する ／ 嫌う
いなぶ（辞ぶ）,断る
すまふ,辞退する ／ 抵抗する
たゆむ,勢いがなくなる ／ 油断させる
なづむ（泥む）,行き悩む ／ 思い焦がれる
したたむ,きちんと整理する ／ 用意する
たばかる,計画を立てる ／ だます
おはす,いらっしゃる ／ 命じる ／ おっしゃる
おきつ,取り決める ／ 指示する
かこつ,〜のせいにする ／ 愚痴をこぼす
およすく,成長する ／ 大人びる
ねぶ,大人びる ／ 年をとる
たく,年をとる ／ 高くなる
てうず,調達する ／ 調理する
ものす,（文脈に応じて）ある／行く／来る／書くなど
しかり,そうだ
いもぬ,寝る
ぬ,寝る
いむ,遠ざける ／ 心身を清める
うす,死ぬ ／ 無くなる
みまかる,亡くなる
こぼつ,壊す
そよめく,衣擦れの音がする ／ ざわめく
ついゐる,膝をついて座る
ひなぶ,田舎めく
みやぶ,上品で優雅だ
けしきばむ,兆しが見える ／ 顔色に表れる
みかど,天皇
うねめ,天皇の側の女官
おとど,大臣 ／ 〜様／殿
てんじゃうびと,殿上の間への昇殿を許された人
かんだちめ,三位以上の貴族
そち,太宰府の長官
きんだち,貴公子 ／ あなた様
ちげ,殿上の間の敷物
ずいじん,警護の人
げらふ,身分の低い者
げす,身分の低い者 ／ 使用人
ほど,身分 ／ 辺り ／ 様子／時間
ほどほど,それぞれの身分
それがし,私 ／ 誰それ
ちいん,知り合い ／ 無二の親友
まらうと,客人
しれもの,愚か者 ／ くせ者
おのがじし,おのおの
どち,仲間 ／ 〜同士
せうと,（女性から見た）兄弟
いもせ,夫婦 ／ 兄と妹
はらから,兄弟姉妹
ほだし,出家の妨げとなるもの ／ 束縛
おきな,爺さん ／ 老人
おうな,婆さん ／ 老女
せんじ,天皇の命令
ぢもく,（大臣以外の）官吏の任命式
つかさめし,京都の役人の任命式
かうぶり,位階 ／ 元服 ／ 冠
うひかうぶり,元服 ／ 初めて宮中へ上がること
よろこび,御礼 ／ 昇進
とのゐ,貴人への夜通しの御供
くもゐ,宮中
ごかう,元天皇のお出まし ／ 女院のお出まし
かち,徒歩
せんざい,庭の植え込み
ばう,東宮（皇太子）の住まい ／ 僧の住まい
つぼね,部屋 ／ 女房
つまど,出入り口の扉
ぬりごめ,周囲を壁で囲った部屋
こころおとり,期待外れ
こころまさり,期待以上に立派だ
こころづくし,様々に気をもむこと
こころばへ,性格 ／ 気配り
おもてをこす,面目を保つ ／ 名誉を回復する
おもてぶせ,面目を潰すこと
けさう,恋すること ／ 思いをかけること
ふみ,漢文／学問 ／ 文字 ／ 手紙
せうそこ,手紙 ／ 訪問
ことのは,歌（和歌） ／ 言葉
かた,場所 ／ 方法 ／ 方向
さた,命令 ／ 処置 ／ 相談／沙汰
よし,理由 ／ 由緒 ／ 〜ということ
たづき,手段 ／ 手がかり
ついたち,月の初め
つごもり,月の終わり
いさよひ,陰暦十六日の夜
よもすがら,一晩中
ひねもす,一日中
こしかた,過去 ／ 通り過ぎてきた場所
さいつころ,先日
そのかみ,その昔
このかみ,年長 ／ 長男／長兄
まな,漢字
ざえ,学問・漢才
すくせ,前世（からの因縁）
たまのを,命
くもがくる,死ぬこと
もののけ,死霊／生霊
よも,四方 ／ 辺り一帯 ／ まさか（＋推量打消）
かたへ,片方／半分 ／ 側にいる人
ひがめ,見間違い ／ わき見
あからめ,浮気 ／ わき見
そばめ,横目 ／ 横顔
ひがこと,間違い ／ 悪事
そらごと,嘘／偽り
とが,欠点 ／ 罪
おほかた,全く（＋打消） ／ 普通／およそ
さらに,全く（＋打消） ／ その上／さらに
かけて,決して（＋打消） ／ 心に留めて
たえて,全く（＋打消） ／ すっかり
をさをさ,ほとんど（＋打消）
え,（〜すること）できない
よに,決して（＋打消） ／ 非常に
いと,たいして（＋打消） ／ 非常に
いとど,ますます ／ その上さらに
いたく,ひどく ／ たいして（＋打消）
とかく,全く（＋打消） ／ あれこれと
かまへて,決して（＋打消） ／ 必ず／ぜひ
ゆめ,決して（＋打消）
な（...そ）,（...する）な／してはいけない
いかが,どのように ／ どうして（反語）
いかで,何とかして（願望） ／ どうして（反語）
いかに,どのように ／ なぜ
など,どうして
いつしか,早く（＋願望） ／ 早くも
いづち,どちら
さだめて,きっと
かく,このように
さ,そのように
しか,そのように
と,あのように
かつ,一方では ／ 次々に
かつがつ,何はともあれ ／ ひとまず
あまた,たくさん
ここら,たくさん ／ たいそう
そこら,たくさん
いくばく,どれほど
やをら,そっと
やうやう（漸う）,だんだん
やや,だんだん ／ 少し
うたて,不快で ／ ますますひどく
おもはずなり,意外だ
おのづから,たまたま ／ ひょっとして
すなはち,すぐに ／ そこで
やがて,すぐに ／ そのまま
まだき,早くも
むげに,むやみに ／ 全く（＋打消）
せめて,無理に ／ 何とかして
はた,これもまた ／ とはいえ
うべ,なるほど
げに,本当に ／ なるほど
けに,いっそう ／ 特に
わざと,わざわざ ／ 特に
ただ,ひたすら ／ まるで ／ 直接
なほ,やはり ／ まるで
さて,そのまま ／ そこで
さながら,そのまま ／ まるで ／ 全く（＋打消）
うちはへ,長々と ／ 特別に
さすがに,とはいえやはり
かたみに,お互いに
なかなか,かえって ／ なまじっか
なべて,一般に／普通 ／ すべて
あな,ああ
あなかま,しっ／静かに
あや,ああ
あはれ,ああ ／ しみじみ
さはれ,ええい／ままよ
いさ,さあ ／ さあ（＋打消）
いざ,さあ（＋意向）
いで,いや ／ さあ
いな,いいえ
あらぬ〜,他の〜 ／ 意外な〜
さらぬ〜,そうではない〜 ／ 何でもない〜
さる〜,そういう〜 ／ しかるべき〜
いにし〜,去る〜／過去の〜
ありし〜,以前の〜 ／ 生前の〜
ありつる〜,さっきの〜
させる〜,たいした（＋打消）
さらば,それならば
されば,だから
さりとて,だからといって
さりとも,だからといって
さるは,そうではあるけれど ／ そうなのは
されど,そうではあるけれど
〜がり,〜の所に
〜ばら,〜たち
〜（を）...み,〜が...ので
...み...み,...たり...たり
...さす,...するのをやめる
...しろふ,お互いに...し合う
えならず,言葉にできないほど素晴らしい ／ 並大抵ではない
えもいはず,なんとも言えない
おぼろけなり,並一通りだ ／ 並一通りではない
なべてなり,並一通りだ
なのめなり,いい加減だ ／ 並一通りだ
けしうはあらず,悪くはない
けしからず,不都合だ ／ 異常だ
ひとやりならず,自分の意志ですることだ
